"Date","Weekly amounts outstanding of Central Bank sterling reserve balance liabilities (in sterling millions) not seasonally adjusted                           RPWB56A","Weekly amounts outstanding of Central Bank short-term open market operations (fine-tuning) (in sterling millions) not seasonally adjusted                           RPWB58A","Weekly amounts outstanding of Central Bank sterling short-term market operations with Bank of England counterparties (one-week) (in sterling millions) not seasonally adjusted                           RPWB9R8","Weekly amounts outstanding of Central Bank short-term open market operations (other maturity within-maintenance period sterling) (in sterling millions) not seasonally adjusted                           RPWBV79","Weekly amounts outstanding of Central Bank sterling notes in circulation total (in sterling millions) not seasonally adjusted                           RPWB55A","Weekly amounts outstanding of Central Bank fine-tuning reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB68A","Weekly amounts outstanding of Central Bank one-week reverse repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWB67A","Weekly amounts outstanding of Central Bank sterling other maturity within-maintenance period reverse repos Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWBL59","Weekly amounts outstanding of Central Bank sterling indexed long-term repos with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TJ","Weekly amounts outstanding of Central Bank sterling contingent term repo facility with Bank of England counterparties (in sterling millions) not seasonally adjusted                           RPWZ4TK","Weekly amounts outstanding of Central Bank sterling denominated bond holdings total (in sterling millions) not seasonally adjusted                           RPWZ4TL","Weekly amounts outstanding of Central Bank sterling loan to Asset Purchase Facility total (in sterling millions) not seasonally adjusted                           RPWZ4TM","Accounting value of the aggregate drawings from the Term Funding Scheme on the Bank of England balance sheet (in sterling millions) financed by the creation of central bank reserves              [a]             RPWZO8Q","Accounting value of the aggregate drawings from the Term Funding Scheme with additional incentives for SMEs (TFSME) (in sterling millions) financed by the creation of central bank reserves                           RPWZOQ4","Weekly amounts outstanding of Central Bank sterling loan to Covid Corporate Financing Facility total (in sterling millions) not seasonally adjusted                           RPWZOQ3","Weekly amounts outstanding of Central Bank foreign currency public securities issued total (in sterling millions) not seasonally adjusted              [b]             RPWB59A","Weekly amounts outstanding of Central Bank all foreign currency reserve assets total (in sterling millions) not seasonally adjusted              [b]             RPWZ4TN"
"15 Nov 17","457665","0","0","0","74961","0","0","0","4072","0","9925","535560","n/a","n/a","n/a","4542","4556"
"08 Nov 17","457705","0","0","0","75029","0","0","0","6067","0","9908","535115","n/a","n/a","n/a","4566","4580"
"01 Nov 17","457648","0","0","0","75133","0","0","0","6067","0","9820","534915","n/a","n/a","n/a","4514","4525"
"25 Oct 17","458084","0","0","0","74784","0","0","0","6067","0","9768","534353","n/a","n/a","n/a","4514","4523"
"18 Oct 17","456816","0","0","0","74842","0","0","0","6067","0","9762","532537","n/a","n/a","n/a","4545","4553"
"11 Oct 17","456370","0","0","0","75071","0","0","0","6067","0","9709","532292","n/a","n/a","n/a","4541","4547"
"04 Oct 17","453804","0","0","0","75271","0","0","0","6572","0","9688","530041","n/a","n/a","n/a","4510","4515"
"27 Sep 17","448753","0","0","0","75343","0","0","0","6572","0","9610","529542","n/a","n/a","n/a","4476","4480"
"20 Sep 17","445826","0","0","0","75218","0","0","0","6572","0","9593","529324","n/a","n/a","n/a","4418","4421"
"13 Sep 17","441894","0","0","0","75187","0","0","0","6572","0","9671","527624","n/a","n/a","n/a","4533","4555"
"06 Sep 17","428797","0","0","0","75328","0","0","0","8777","0","9820","527444","n/a","n/a","n/a","4596","4615"
"30 Aug 17","445784","0","0","0","75408","0","0","0","8777","0","9768","527852","n/a","n/a","n/a","4645","4677"
"23 Aug 17","443926","0","0","0","75013","0","0","0","8777","0","10488","527740","n/a","n/a","n/a","4690","4722"
"16 Aug 17","449866","0","0","0","74885","0","0","0","8777","0","10403","525375","n/a","n/a","n/a","4660","4690"
"09 Aug 17","450082","0","0","0","74853","0","0","0","9557","0","10378","524636","n/a","n/a","n/a","4618","4647"
"02 Aug 17","448704","0","0","0","74917","0","0","0","9557","0","10264","524589","n/a","n/a","n/a","4535","4564"
"26 Jul 17","448603","0","0","0","75082","0","0","0","9557","0","10231","523315","n/a","n/a","n/a","4590","4618"
"19 Jul 17","446250","0","0","0","74908","0","0","0","9557","0","10209","520661","n/a","n/a","n/a","4597","4624"
"12 Jul 17","445381","0","0","0","74974","0","0","0","9557","0","10106","520486","n/a","n/a","n/a","4651","4675"
"05 Jul 17","447611","0","0","0","74878","0","0","0","11210","0","10074","520461","n/a","n/a","n/a","4633","4657"
"28 Jun 17","441717","0","0","0","74690","0","0","0","11210","0","10071","514256","n/a","n/a","n/a","4636","4658"
"21 Jun 17","440845","0","0","0","74359","0","0","0","11210","0","10101","513661","n/a","n/a","n/a","4732","4755"
"14 Jun 17","437837","0","0","0","74280","0","0","0","11210","0","10135","510195","n/a","n/a","n/a","4692","4713"
"07 Jun 17","439528","0","0","0","74365","0","0","0","13385","0","10094","510023","n/a","n/a","n/a","4627","4648"
"31 May 17","437760","0","0","0","74776","0","0","0","13385","0","10126","508298","n/a","n/a","n/a","4649","4666"
"24 May 17","440568","0","0","0","74165","0","0","0","13385","0","10103","508034","n/a","n/a","n/a","4628","4644"
"17 May 17","438405","0","0","0","73733","0","0","0","13385","0","10100","505174","n/a","n/a","n/a","4632","4647"
"10 May 17","435710","0","0","0","74066","0","0","0","12575","0","10043","503704","n/a","n/a","n/a","4629","4645"
"03 May 17","434532","0","0","0","74706","0","0","0","12575","0","10076","502891","n/a","n/a","n/a","4647","4661"
"26 Apr 17","434068","0","0","0","74239","0","0","0","12575","0","10072","502500","n/a","n/a","n/a","4662","4674"
"19 Apr 17","430195","0","0","0","74841","0","0","0","12575","0","10059","500319","n/a","n/a","n/a","4684","4695"
"12 Apr 17","431207","0","0","0","74383","0","0","0","12575","0","10065","500009","n/a","n/a","n/a","4792","4806"
"05 Apr 17","429363","0","0","0","73916","0","0","0","11320","0","10028","499252","n/a","n/a","n/a","4801","4814"
"29 Mar 17","424021","0","0","0","73608","0","0","0","11320","0","10004","497306","n/a","n/a","n/a","4820","4992"
"22 Mar 17","416376","0","0","0","73352","0","0","0","11320","0","9972","490774","n/a","n/a","n/a","4799","4968"
"15 Mar 17","414142","0","0","0","73170","0","0","0","11320","0","9960","488354","n/a","n/a","n/a","6519","5989"
"08 Mar 17","409829","0","0","0","73222","0","0","0","9355","0","9923","486891","n/a","n/a","n/a","6550","6751"
"01 Mar 17","410929","0","0","0","73287","0","0","0","9355","0","9963","485633","n/a","n/a","n/a","6477","6075"
"22 Feb 17","406486","0","0","0","72974","0","0","0","9355","0","9895","484362","n/a","n/a","n/a","4807","4839"
"15 Feb 17","401862","0","0","0","72966","0","0","0","9355","0","9824","480541","n/a","n/a","n/a","4806","4838"
"08 Feb 17","398242","0","0","0","72991","0","0","0","9219","0","9821","479615","n/a","n/a","n/a","4778","4443"
"01 Feb 17","391315","0","0","0","73127","0","0","0","9219","0","9739","474013","n/a","n/a","n/a","4732","4761"
"25 Jan 17","384936","0","0","0","72990","0","0","0","9219","0","9710","468037","n/a","n/a","n/a","4745","4771"
"18 Jan 17","382630","0","0","0","73260","0","0","0","9219","0","9756","464152","n/a","n/a","n/a","4870","4895"
"11 Jan 17","380647","0","0","0","73944","0","0","0","9219","0","9713","455451","n/a","n/a","n/a","4887","4912"
"04 Jan 17","374472","0","0","0","75013","0","0","0","10879","0","9724","449082","n/a","n/a","n/a","4866","4893"
"28 Dec 16","370510","0","0","0","76367","0","0","0","10879","0","9739","448575","n/a","n/a","n/a","4886","4914"
"21 Dec 16","373021","0","0","0","75870","0","0","0","10879","0","9710","448425","n/a","n/a","n/a","4830","4857"
"14 Dec 16","362866","0","0","0","74742","0","0","0","10879","0","9702","436505","n/a","n/a","n/a","4711","4735"
"07 Dec 16","363777","0","0","0","74266","0","0","0","16566","0","9706","431134","n/a","n/a","n/a","4747","4769"
"30 Nov 16","358716","0","0","0","73974","0","0","0","16566","0","9732","425741","n/a","n/a","n/a","4795","4818"
"23 Nov 16","353950","0","0","0","73601","0","0","0","16566","0","9781","418783","n/a","n/a","n/a","4827","4849"
"16 Nov 16","352614","0","0","0","73226","0","0","0","16566","0","9765","415204","n/a","n/a","n/a","4823","4840"
"09 Nov 16","350556","0","0","0","73263","0","0","0","18297","0","9758","411488","n/a","n/a","n/a","4826","4842"
"02 Nov 16","347260","0","0","0","73214","0","0","0","18297","0","9744","408690","n/a","n/a","n/a","4883","4894"
"26 Oct 16","344471","0","0","0","72950","0","0","0","18297","0","9718","406998","n/a","n/a","n/a","4910","4921"
"19 Oct 16","337867","0","0","0","72665","0","0","0","18297","0","9687","404703","n/a","n/a","n/a","4893","4903"
"12 Oct 16","333314","0","0","0","72646","0","0","0","18297","0","9668","402126","n/a","n/a","n/a","4931","4938"
"05 Oct 16","330847","0","0","0","72708","0","0","0","20534","0","9746","398723","n/a","n/a","n/a","4720","4724"
"28 Sep 16","326116","0","0","0","72603","0","0","0","20364","0","9763","396336","n/a","n/a","n/a","4635","4635"
"21 Sep 16","320701","0","0","0","72382","0","0","0","20279","0","9678","394426","n/a","n/a","n/a","4642","4641"
"14 Sep 16","318442","0","0","0","72478","0","0","0","20209","0","9650","392566","n/a","n/a","n/a","4567","4582"
"07 Sep 16","318481","0","0","0","72534","0","0","0","24229","0","9694","390157","n/a","n/a","n/a","4511","4532"
"31 Aug 16","329063","0","0","0","72714","0","0","0","24229","0","10591","386647","n/a","n/a","n/a","4595","4614"
"24 Aug 16","328861","0","0","0","72261","0","0","0","23599","0","10465","384307","n/a","n/a","n/a","4546","4565"
"17 Aug 16","326164","0","0","0","71955","0","0","0","23374","0","10428","380798","n/a","n/a","n/a","4627","4645"
"10 Aug 16","323645","0","0","0","71977","0","0","0","24326","0","10414","377288","n/a","n/a","n/a","4632","4648"
"03 Aug 16","320728","0","0","0","71978","0","0","0","24126","0","10316","375000","n/a","n/a","n/a","4525","4539"
"27 Jul 16","319040","0","0","0","71751","0","0","0","24051","0","10301","375000","n/a","n/a","n/a","4593","4609"
"20 Jul 16","319931","0","0","0","71519","0","0","0","23801","0","10226","375000","n/a","n/a","n/a","4572","4588"
"13 Jul 16","317053","0","0","0","71519","0","0","0","21796","0","10257","375000","n/a","n/a","n/a","4565","4582"
"06 Jul 16","319679","0","0","0","71366","0","0","0","23567","0","10215","375000","n/a","n/a","n/a","4690","4705"
"29 Jun 16","316666","0","0","0","70969","0","0","0","20495","0","10158","375000","n/a","n/a","n/a","4468","4482"
"22 Jun 16","315851","0","0","0","70185","0","0","0","20125","0","10017","375000","n/a","n/a","n/a","4104","4112"
"15 Jun 16","315182","0","0","0","69976","0","0","0","17670","0","10089","375000","n/a","n/a","n/a","4251","4259"
"08 Jun 16","315276","0","0","0","69949","0","0","0","18015","0","10044","375000","n/a","n/a","n/a","4141","4147"
"01 Jun 16","317689","0","0","0","70391","0","0","0","18015","0","10031","375000","n/a","n/a","n/a","4172","4178"
"25 May 16","317800","0","0","0","69687","0","0","0","18015","0","10038","375000","n/a","n/a","n/a","4085","4091"
"18 May 16","317528","0","0","0","69523","0","0","0","18015","0","10045","375000","n/a","n/a","n/a","4117","4122"
"11 May 16","317932","0","0","0","69655","0","0","0","18869","0","10063","375000","n/a","n/a","n/a","4170","4173"
"04 May 16","318068","0","0","0","69871","0","0","0","18869","0","10008","375000","n/a","n/a","n/a","4165","4152"
"27 Apr 16","317165","0","0","0","69301","0","0","0","18869","0","9974","375000","n/a","n/a","n/a","4139","4127"
"20 Apr 16","319093","0","0","0","68764","0","0","0","18869","0","10024","375000","n/a","n/a","n/a","4185","4172"
"13 Apr 16","319051","0","0","0","68654","0","0","0","18869","0","10033","375000","n/a","n/a","n/a","4243","4551"
"06 Apr 16","318419","0","0","0","68955","0","0","0","18657","0","10039","375000","n/a","n/a","n/a","4279","4593"
"30 Mar 16","313863","0","0","0","69591","0","0","0","18657","0","10009","375000","n/a","n/a","n/a","4170","4333"
"23 Mar 16","314226","0","0","0","68755","0","0","0","18657","0","9987","375000","n/a","n/a","n/a","4260","4427"
"16 Mar 16","315435","0","0","0","67874","0","0","0","18657","0","9962","375000","n/a","n/a","n/a","5673","5595"
"09 Mar 16","312137","0","0","0","67823","0","0","0","15522","0","9952","375000","n/a","n/a","n/a","5630","5645"
"02 Mar 16","314843","0","0","0","67629","0","0","0","15522","0","10024","375000","n/a","n/a","n/a","4275","4122"
"24 Feb 16","314415","0","0","0","67235","0","0","0","15522","0","10007","375000","n/a","n/a","n/a","4325","4328"
"17 Feb 16","316165","0","0","0","66978","0","0","0","15522","0","9960","375000","n/a","n/a","n/a","4205","4208"
"10 Feb 16","317318","0","0","0","67006","0","0","0","16261","0","9953","375000","n/a","n/a","n/a","4161","4164"
"03 Feb 16","315378","0","0","0","67101","0","0","0","16261","0","9923","375000","n/a","n/a","n/a","4130","4131"
"27 Jan 16","311501","0","0","0","66841","0","0","0","16261","0","9833","375000","n/a","n/a","n/a","4218","4218"
"20 Jan 16","315863","0","0","0","66573","0","0","0","16261","0","9851","375000","n/a","n/a","n/a","4239","4238"
"13 Jan 16","314629","0","0","0","66948","0","0","0","16261","0","9812","375000","n/a","n/a","n/a","4161","4160"
"06 Jan 16","311981","0","0","0","68222","0","0","0","15455","0","9767","375000","n/a","n/a","n/a","4110","4108"
"30 Dec 15","310112","0","0","0","69754","0","0","0","15455","0","9697","375000","n/a","n/a","n/a","4043","4043"
"23 Dec 15","309769","0","0","0","69779","0","0","0","15455","0","9713","375000","n/a","n/a","n/a","4036","4035"
"16 Dec 15","300926","0","0","0","68333","0","0","0","15455","0","9712","375000","n/a","n/a","n/a","4000","3996"
"09 Dec 15","296547","0","0","0","67899","0","0","0","13492","0","9732","375000","n/a","n/a","n/a","3957","3952"
"02 Dec 15","311934","0","0","0","67681","0","0","0","13492","0","10401","375000","n/a","n/a","n/a","4019","4012"
"25 Nov 15","314545","0","0","0","67178","0","0","0","13492","0","10324","375000","n/a","n/a","n/a","3971","3966"
"18 Nov 15","315467","0","0","0","66831","0","0","0","13492","0","10265","375000","n/a","n/a","n/a","3951","3943"
"11 Nov 15","315331","0","0","0","66829","0","0","0","14042","0","10188","375000","n/a","n/a","n/a","3953","3946"
"04 Nov 15","315984","0","0","0","66872","0","0","0","14042","0","10200","375000","n/a","n/a","n/a","3909","3903"
"28 Oct 15","316052","0","0","0","66677","0","0","0","14042","0","10228","375000","n/a","n/a","n/a","3947","3940"
"21 Oct 15","316345","0","0","0","66343","0","0","0","14042","0","10188","375000","n/a","n/a","n/a","3901","3892"
"14 Oct 15","313758","0","0","0","66351","0","0","0","14042","0","10156","375000","n/a","n/a","n/a","3909","3901"
"07 Oct 15","314821","0","0","0","66511","0","0","0","15272","0","10130","375000","n/a","n/a","n/a","3937","3927"
"30 Sep 15","311762","0","0","0","66428","0","0","0","15272","0","10144","375000","n/a","n/a","n/a","3980","3969"
"23 Sep 15","308068","0","0","0","66131","0","0","0","15272","0","10131","375000","n/a","n/a","n/a","3956","3944"
"16 Sep 15","304930","0","0","0","66071","0","0","0","15272","0","10055","375000","n/a","n/a","n/a","3877","3873"
"09 Sep 15","301128","0","0","0","66089","0","0","0","16562","0","10077","375000","n/a","n/a","n/a","3915","3921"
"02 Sep 15","317245","0","0","0","66749","0","0","0","16562","0","10732","375000","n/a","n/a","n/a","3937","3940"
"26 Aug 15","317865","0","0","0","66304","0","0","0","16562","0","10768","375000","n/a","n/a","n/a","3877","3881"
"19 Aug 15","318345","0","0","0","66189","0","0","0","16562","0","10786","375000","n/a","n/a","n/a","3847","3850"
"12 Aug 15","316861","0","0","0","66215","0","0","0","15427","0","10778","375000","n/a","n/a","n/a","3852","3854"
"05 Aug 15","316892","0","0","0","66220","0","0","0","15427","0","10717","375000","n/a","n/a","n/a","3853","3855"
"29 Jul 15","317794","0","0","0","66233","0","0","0","15427","0","10713","375000","n/a","n/a","n/a","3845","3846"
"22 Jul 15","317300","0","0","0","66030","0","0","0","15427","0","10684","375000","n/a","n/a","n/a","3849","3848"
"15 Jul 15","316813","0","0","0","65680","0","0","0","15427","0","10625","375000","n/a","n/a","n/a","3850","3850"
"08 Jul 15","314924","0","0","0","65578","0","0","0","13372","0","10698","375000","n/a","n/a","n/a","3926","3924"
"01 Jul 15","314944","0","0","0","65567","0","0","0","13372","0","10641","375000","n/a","n/a","n/a","3849","3846"
"24 Jun 15","315669","0","0","0","65184","0","0","0","13372","0","10607","375000","n/a","n/a","n/a","3828","3824"
"17 Jun 15","315355","0","0","0","65054","0","0","0","13372","0","10629","375000","n/a","n/a","n/a","3827","3820"
"10 Jun 15","314440","0","0","0","65167","0","0","0","12565","0","10608","375000","n/a","n/a","n/a","3868","3862"
"03 Jun 15","316634","0","0","0","65197","0","0","0","12565","0","10663","375000","n/a","n/a","n/a","3925","3916"
"27 May 15","317155","0","0","0","65316","0","0","0","12565","0","10752","375000","n/a","n/a","n/a","3926","3918"
"20 May 15","318172","0","0","0","64675","0","0","0","12565","0","10727","375000","n/a","n/a","n/a","3878","3869"
"13 May 15","313855","0","0","0","64529","0","0","0","8412","0","10738","375000","n/a","n/a","n/a","3831","3820"
"06 May 15","312342","0","0","0","65415","0","0","0","8412","0","10739","375000","n/a","n/a","n/a","3948","3934"
"29 Apr 15","312707","0","0","0","64809","0","0","0","8412","0","10780","375000","n/a","n/a","n/a","3897","3883"
"22 Apr 15","309803","0","0","0","64364","0","0","0","8412","0","10818","375000","n/a","n/a","n/a","4009","3994"
"15 Apr 15","309000","0","0","0","64494","0","0","0","8412","0","10848","375000","n/a","n/a","n/a","4069","4053"
"08 Apr 15","304285","0","0","0","65256","0","0","0","5180","0","10838","375000","n/a","n/a","n/a","4042","4025"
"01 Apr 15","304265","0","0","0","65030","0","0","0","5180","0","10852","375000","n/a","n/a","n/a","4068","4057"
"25 Mar 15","305656","0","0","0","64104","0","0","0","5180","0","10869","375000","n/a","n/a","n/a","4020","4007"
"18 Mar 15","304713","0","0","0","63715","0","0","0","5180","0","10826","375000","n/a","n/a","n/a","4020","4011"
"11 Mar 15","303217","0","0","0","63691","0","0","0","2994","0","10701","375000","n/a","n/a","n/a","4004","3991"
"04 Mar 15","306862","0","0","0","63584","0","0","0","2994","0","10747","375000","n/a","n/a","n/a","3935","3931"
"25 Feb 15","307017","0","0","0","63309","0","0","0","2994","0","10810","375000","n/a","n/a","n/a","3875","3869"
"18 Feb 15","307311","0","0","0","63008","0","0","0","2994","0","10784","375000","n/a","n/a","n/a","3891","3886"
"11 Feb 15","306302","0","0","0","63284","0","0","0","2339","0","10791","375000","n/a","n/a","n/a","3933","3927"
"04 Feb 15","306174","0","0","0","63282","0","0","0","2339","0","10839","375000","n/a","n/a","n/a","3951","3945"
"28 Jan 15","304983","0","0","0","62941","0","0","0","2339","0","10863","375000","n/a","n/a","n/a","3961","3954"
"21 Jan 15","304769","0","0","0","62905","0","0","0","2339","0","10856","375000","n/a","n/a","n/a","3981","3973"
"14 Jan 15","303304","0","0","0","63275","0","0","0","2339","0","10795","375000","n/a","n/a","n/a","3954","3945"
"07 Jan 15","301237","0","0","0","64454","0","0","0","2298","0","10763","375000","n/a","n/a","n/a","3980","3971"
"31 Dec 14","298544","0","0","0","66038","0","0","0","2298","0","10710","375000","n/a","n/a","n/a","3851","3844"
"24 Dec 14","299414","0","0","0","66876","0","0","0","2298","0","10662","375000","n/a","n/a","n/a","3861","3854"
"17 Dec 14","300352","0","0","0","65253","0","0","0","2298","0","10701","375000","n/a","n/a","n/a","3839","3830"
"10 Dec 14","300956","0","0","0","64724","0","0","0","1903","0","10674","375000","n/a","n/a","n/a","3827","3816"
"03 Dec 14","303668","0","0","0","64298","0","0","0","1903","0","10684","375000","n/a","n/a","n/a","3824","3813"
"26 Nov 14","303509","0","0","0","63672","0","0","0","1903","0","10600","375000","n/a","n/a","n/a","3805","3793"
"19 Nov 14","304297","0","0","0","63128","0","0","0","1903","0","10501","375000","n/a","n/a","n/a","3835","3822"
"12 Nov 14","304993","0","0","0","63108","0","0","0","1746","0","10441","375000","n/a","n/a","n/a","3796","3783"
"05 Nov 14","304766","0","0","0","63060","0","0","0","1746","0","10416","375000","n/a","n/a","n/a","3761","3748"
"29 Oct 14","302106","0","0","0","63059","0","0","0","1746","0","10379","375000","n/a","n/a","n/a","3725","3711"
"22 Oct 14","304393","0","0","0","62562","0","0","0","1746","0","10352","375000","n/a","n/a","n/a","3750","3735"
"15 Oct 14","300727","0","0","0","62607","0","0","0","1746","0","10383","375000","n/a","n/a","n/a","3792","3773"
"08 Oct 14","299079","0","0","0","62617","0","0","0","1658","0","10305","375000","n/a","n/a","n/a","3739","3721"
"01 Oct 14","293613","0","0","0","62704","0","0","0","1658","0","10263","375000","n/a","n/a","n/a","3708","3690"
"24 Sep 14","289788","0","0","0","62598","0","0","0","1658","0","10186","375000","n/a","n/a","n/a","3672","3655"
"17 Sep 14","289724","0","0","0","62391","0","0","0","1658","0","10135","375000","n/a","n/a","n/a","3678","3674"
"10 Sep 14","288265","0","0","0","62341","0","0","0","1562","0","10105","375000","n/a","n/a","n/a","3717","3718"
"03 Sep 14","301950","0","0","0","62365","0","0","0","1562","0","10608","375000","n/a","n/a","n/a","3651","3655"
"27 Aug 14","302778","0","0","0","62512","0","0","0","1562","0","10579","375000","n/a","n/a","n/a","3623","3627"
"20 Aug 14","303539","0","0","0","62109","0","0","0","1562","0","10516","375000","n/a","n/a","n/a","3611","3622"
"13 Aug 14","303843","0","0","0","62080","0","0","0","2127","0","10465","375000","n/a","n/a","n/a","3602","3596"
"06 Aug 14","304120","0","0","0","62150","0","0","0","2127","0","10439","375000","n/a","n/a","n/a","3571","3564"
"30 Jul 14","303183","0","0","0","62163","0","0","0","2127","0","10416","375000","n/a","n/a","n/a","3550","3544"
"23 Jul 14","303509","0","0","0","61770","0","0","0","2127","0","10385","375000","n/a","n/a","n/a","3526","3519"
"16 Jul 14","303931","0","0","0","61685","0","0","0","2127","0","10313","375000","n/a","n/a","n/a","3504","3496"
"09 Jul 14","303718","0","0","0","61644","0","0","0","1908","0","10308","375000","n/a","n/a","n/a","3504","3496"
"02 Jul 14","303764","0","0","0","61641","0","0","0","1908","0","10242","375000","n/a","n/a","n/a","3501","3500"
"25 Jun 14","303599","0","0","0","61410","0","0","0","1908","0","10247","375000","n/a","n/a","n/a","3540","3531"
"18 Jun 14","303435","0","0","0","61164","0","0","0","1908","0","10197","375000","n/a","n/a","n/a","3547","3537"
"11 Jun 14","303405","0","0","0","61157","0","0","0","1473","0","10209","375000","n/a","n/a","n/a","3581","3572"
"04 Jun 14","305980","0","0","0","61175","0","0","0","1473","0","10243","375000","n/a","n/a","n/a","3590","3579"
"28 May 14","305548","0","0","0","61436","0","0","0","1473","0","10264","375000","n/a","n/a","n/a","3605","3594"
"21 May 14","304879","0","0","0","60993","0","0","0","1473","0","10207","375000","n/a","n/a","n/a","3567","3555"
"14 May 14","304876","0","0","0","60778","0","0","0","1313","0","10223","375000","n/a","n/a","n/a","3589","3577"
"07 May 14","304262","0","0","0","61436","0","0","0","1313","0","10195","375000","n/a","n/a","n/a","3544","3533"
"30 Apr 14","303808","0","0","0","61255","0","0","0","1313","0","10197","375000","n/a","n/a","n/a","3560","3548"
"23 Apr 14","303399","0","0","0","61661","0","0","0","1313","0","10171","375000","n/a","n/a","n/a","3581","3570"
"16 Apr 14","299695","0","0","0","61421","0","0","0","1313","0","10182","375000","n/a","n/a","n/a","3580","3568"
"09 Apr 14","300649","0","0","0","60479","0","0","0","1313","0","10192","375000","n/a","n/a","n/a","3587","3574"
"02 Apr 14","299696","0","0","0","60447","0","0","0","1313","0","10167","375000","n/a","n/a","n/a","3608","3596"
"26 Mar 14","300100","0","0","0","60104","0","0","0","1313","0","10161","375000","n/a","n/a","n/a","3624","3612"
"19 Mar 14","299620","0","0","0","59820","0","0","0","1313","0","10140","375000","n/a","n/a","n/a","3616","3958"
"12 Mar 14","295540","0","0","0","59758","0","0","0","1165","0","10099","375000","n/a","n/a","n/a","3620","3831"
"05 Mar 14","306104","0","0","0","59721","0","0","0","1165","0","10168","375000","n/a","n/a","n/a","3592","3034"
"26 Feb 14","305743","0","0","0","59610","0","0","0","1165","0","10161","375000","n/a","n/a","n/a","3612","3615"
"19 Feb 14","305951","0","0","0","59391","0","0","0","1165","0","10152","375000","n/a","n/a","n/a","3597","3599"
"12 Feb 14","303994","0","0","0","59444","0","0","0","325","0","10098","375000","n/a","n/a","n/a","3624","3626"
"05 Feb 14","302188","0","0","0","59528","0","0","0","325","0","10137","375000","n/a","n/a","n/a","3687","3689"
"29 Jan 14","302310","0","0","0","59478","0","0","0","325","0","10086","375000","n/a","n/a","n/a","3632","3624"
"22 Jan 14","300583","0","0","0","59438","0","0","0","325","0","10025","375000","n/a","n/a","n/a","3624","3628"
"15 Jan 14","300820","0","0","0","59688","0","0","0","325","0","10006","375000","n/a","n/a","n/a","3674","3675"
"08 Jan 14","299413","0","0","0","60517","0","0","0","125","0","9990","375000","n/a","n/a","n/a","3647","3648"
"01 Jan 14","297036","0","0","0","62470","0","0","0","125","0","9979","375000","n/a","n/a","n/a","3634","3648"
